receta_id | ingrediente_id |
1         | 4              |
1         | 8              |
2         | 1              |
2         | 5              |
3         | 5              |
3         | 10             |
4         | 6              |
4         | 13             |
5         | 7              |
5         | 9              |
6         | 5              |
6         | 8              |
7         | 1              |
7         | 15             |
8         | 2              |
8         | 3              |
8         | 17             |
8         | 24             |
9         | 5              |
9         | 13             |
10        | 1              |
10        | 16             |
11        | 7              |
11        | 21             |
11        | 25             |
12        | 19             |
12        | 22             |
